alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.750000,0.100000,0.690000,1,770357002,8.7638105024e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,2,770357003,8.8508296483e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,3,770357004,8.7563662914e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,4,770357005,8.8170269461e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,5,770357006,8.7963363439e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,6,770357007,8.7783170894e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,7,770357008,8.7874457484e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,8,770357009,8.8047218630e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,9,770357010,8.7907522170e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,10,770357011,8.8514678233e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,11,770357012,8.7236964531e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,12,770357013,8.7870131778e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,13,770357014,8.8320563547e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,14,770357015,8.8263673603e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,15,770357016,8.7749489236e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,16,770357017,8.7167551878e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,17,770357018,8.8427212217e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,18,770357019,8.7950672851e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,19,770357020,8.7937622327e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.690000,20,770357021,8.7711252205e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
